Month,Year,Software Pkg1,Salaries,Software Pkg 2,Rent,Software Updates
January,2024,50450,-12000,8000,-3000,s
February,2024,45000,-456,7000,-4599,334
March,2024,15000,-2456,7460,-4599,334
April,2024,47000,-13250,7800,-3500,1400
May,2024,49000,-14000,7600,-4000,1500

June,2024,51000,-12500,8000,-4500,1600
July,2024,53000,-11000,8500,-5000,1700
August,2024,55000,-11500,8700,-4700,1800
September,2024,56000,-12000,8800,-4600,1900
October,2024,57000,-12500,9000,-4200,2000

November,2024,58000,-13000,9100,-4300,2100
December,2024,59000,-13500,9200,-4400,2200
January,2025,60000,-14000,9400,-4500,2300
February,2025,61000,-14500,9500,-4600,2400
March,2025,52000,-9877,9000,-2455,3250

April,2025,62000,-15000,9700,-4700,2500
May,2025,63000,-15500,9800,-4800,2600
June,2025,64000,-16000,9900,-4900,2700
July,2025,65000,-16500,10000,-5000,2800
August,2025,66000,-17000,10200,-5100,2900
September,2025,67000,-17500,10300,-5200,3000
October,2025,68000,-18000,10400,-5300,3100
November,2025,69000,-18500,10500,-5400,3200
December,2025,70000,-19000,10600,-5500,3300
