Month,Year,Software Pkg1,Salaries,Software Pkg 2,Rent,Software Updates,Product A,Product B,Product C,Product D,Product E,Product F,Product G,Product H,Product I,Product J,Product K,Product L,Product M,Product N,Product O,Product P,Product Q,Product R,Product S,Product T,Product U,Product V,Product W,Product X,Product Y,Product Z
January,2026,50450,-12000,8000,-3000,s,1500,2000,2500,-1000,1100,1200,1300,1400,-1500,1600,1700,1800,1900,2000,-2100,2200,2300,2400,2500,2600,2700,2800,-2900,3000,3100,3200
February,2026,45000,-456,7000,-4599,334,1600,-2100,2600,1100,1200,1300,-1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,-2500,2600,2700,2800,2900,3000,3100
March,2026,15000,-2456,7460,-4599,334,1700,2200,2700,1200,-1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300
April,2026,47000,-13250,7800,-3500,1400,1800,2300,2800,1300,1400,1500,1600,-1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400
May,2026,49000,-14000,7600,-4000,1500,1900,2400,2900,1400,1500,1600,1700,1800,-1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500
June,2026,51000,-12500,8000,-4500,1600,2000,2500,3000,1500,1600,1700,-1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600
July,2026,53000,-11000,8500,-5000,1700,2100,2600,3100,-1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700
August,2026,55000,-11500,8700,-4700,1800,2200,2700,3200,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800
September,2026,56000,-12000,8800,-4600,1900,2300,2800,3300,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,-3500,3600,3700,3800,3900
October,2026,57000,-12500,9000,-4200,2000,2400,2900,3400,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
November,2026,58000,-13000,9100,-4300,2100,2500,3000,3500,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100
December,2026,59000,-13500,9200,-4400,2200,2600,3100,3600,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,-4200
January,2025,60000,-14000,9400,-4500,2300,2700,3200,3700,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300
February,2025,61000,-14500,9500,-4600,2400,2800,3300,3800,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,-4200,4300,4400
March,2025,52000,-9877,9000,-2455,3250,2900,3400,3900,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500
April,2025,62000,-15000,9700,-4700,2500,3000,3500,4000,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600
May,2025,63000,-15500,9800,-4800,2600,3100,3600,4100,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700
June,2025,64000,-16000,9900,-4900,2700,3200,3700,4200,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800
July,2025,65000,-16500,10000,-5000,2800,3300,3800,4300,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,-4900
August,2025,66000,-17000,10200,-5100,2900,3400,3900,4400,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
September,2025,67000,-17500,10300,-5200,3000,3500,4000,4500,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100
October,2025,68000,-18000,10400,-5300,3100,3600,4100,4600,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200
November,2025,69000,-18500,10500,-5400,3200,3700,4200,4700,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300
December,2025,70000,-19000,10600,-5500,3300,3800,4300,4800,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400
